dataset,file_type,variable_code,variable_title,domain,area,years_present,observed_in_AT_2013_open_file,description,processing_anonymisation
EU-SILC public microdata,P,PD010,Mobile phone?,Ad-hoc module,Material deprivation,2009,false,1 Yes 2 No - cannot afford it    3 No - other reason,
EU-SILC public microdata,P,PD020,Replace worn-out clothes by some new (not second-hand) ones,Material deprivation,Basic needs,2009 and 2013,true,1 Yes 2 No - cannot afford it    3 No - other reason,
EU-SILC public microdata,P,PD030,Two pairs of properly fitting shoes (incl. a pair of all-weather shoes),Material deprivation,Basic needs,2009 and 2013,true,1 Yes 2 No - cannot afford it    3 No - other reason,
EU-SILC public microdata,P,PD040,"Number of visits to general practitioners (GPs) and specialists, excluding dentists and ophthalmologists",Ad-hoc module,Material deprivation,2009,false,During the last 12 months.  1 Not at all 2 1 to 2 times 3 3 to 5 times 4 6 - 9 times 5 10 times or more,
EU-SILC public microdata,P,PD050,Get-together with friends,Material deprivation,Leisure and social activities,2009 and 2013,true,1 Yes 2 No - cannot afford it    3 No - other reason,
EU-SILC public microdata,P,PD060,Regularly participate in a leisure activity,Material deprivation,Leisure and social activities,2009 and 2013,true,1 Yes 2 No - cannot afford it    3 No - other reason,
EU-SILC public microdata,P,PD070,Spend a small amount of money each week on yourself,Material deprivation,Leisure and social activities,2009 and 2013,true,1 Yes 2 No - cannot afford it    3 No - other reason,
EU-SILC public microdata,P,PD080,Internet connection for personal use at home,Material deprivation,Durables,2013,true,1 Yes 2 No - cannot afford it    3 No - other reason,
EU-SILC public microdata,P,PD090,Regular use of public transport,,,2013,true,1 Yes 2 No - ticket too expensive 3 No - station too far away 4 No - access too difficult 5 No - private transport 6 No - other reason,
EU-SILC public microdata,P,PW010,Overall life satisfaction,Ad-hoc module,Personal wellbeing,2013,true,"Discrete integers on a scale of 0 to 10 where 0 is ""not at all satisfied"" and 10 is ""completely satisfied"".  A value of 99 indicates a ""do not know"" response.",
EU-SILC public microdata,P,PW020,Meaning of life,Ad-hoc module,Personal wellbeing,2013,true,"Discrete integers on a scale of 0 to 10 where 0 is ""not at all satisfied"" and 10 is ""completely satisfied"".  A value of 99 indicates a ""do not know"" response.",
EU-SILC public microdata,P,PW030,Satisfaction with financial situation,Ad-hoc module,Personal wellbeing,2013,true,"Discrete integers on a scale of 0 to 10 where 0 is ""not at all satisfied"" and 10 is ""completely satisfied"".  A value of 99 indicates a ""do not know"" response.",
EU-SILC public microdata,P,PW040,Satisfaction with accommodation,Ad-hoc module,Personal wellbeing,2013,true,"Discrete integers on a scale of 0 to 10 where 0 is ""not at all satisfied"" and 10 is ""completely satisfied"".  A value of 99 indicates a ""do not know"" response.",
EU-SILC public microdata,P,PW050,Being very nervous,Ad-hoc module,Personal wellbeing,2013,true,1 All of the time 2 Most of the time 3 Some of the time 4 A little of the time 5 None of the time  9 Do not know,
EU-SILC public microdata,P,PW060,Feeling down in the dumps,Ad-hoc module,Personal wellbeing,2013,true,1 All of the time 2 Most of the time 3 Some of the time 4 A little of the time 5 None of the time  9 Do not know,
EU-SILC public microdata,P,PW070,Feeling calm and peaceful,Ad-hoc module,Personal wellbeing,2013,true,1 All of the time 2 Most of the time 3 Some of the time 4 A little of the time 5 None of the time  9 Do not know,
EU-SILC public microdata,P,PW080,Feeling downhearted or depressed,Ad-hoc module,Personal wellbeing,2013,true,1 All of the time 2 Most of the time 3 Some of the time 4 A little of the time 5 None of the time  9 Do not know,
